a/s	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p50	p51	p52	p53	p54	p55	p56	p57	p58	p59	p60	p61	p62	p63	p64	p65	p66	p67	p68	p69	p70	p71	p72	p73	p74	p75	p76	p77	p78	p79	p80	p81	p82	p83	p84	p85	p86	p87	p88	p89	p90	p91	p92	p93	p94	p95	p96	p97	p98	p99	p100
0	0.705792665	0.673477203	0.810799539	0.252241865	0.385397524	0.770499885	0.608821154	0.375568956	0.148137182	0.148228303	0.957265794	0.61699	0.601023465	0.72336024	0.213318869	0.438919097	0.133874729	0.42776908	0.003148928	0.292689443	0.272253171	0.29308717	0.813638508	0.249189213	0.082527205	0.926500589	0.56854625	0.444287464	0.472438022	0.828171432	0.705792665	0.673477203	0.810799539	0.252241865	0.385397524	0.770499885	0.608821154	0.375568956	0.148137182	0.148228303	0.957265794	0.61699	0.601023465	0.72336024	0.213318869	0.438919097	0.133874729	0.42776908	0.003148928	0.292689443	0.272253171	0.29308717	0.813638508	0.249189213	0.082527205	0.926500589	0.56854625	0.444287464	0.472438022	0.828171432	0.705792665	0.673477203	0.810799539	0.252241865	0.385397524	0.770499885	0.608821154	0.375568956	0.148137182	0.148228303	0.957265794	0.61699	0.601023465	0.72336024	0.213318869	0.438919097	0.133874729	0.42776908	0.003148928	0.292689443	0.272253171	0.29308717	0.813638508	0.249189213	0.082527205	0.926500589	0.56854625	0.444287464	0.472438022	0.828171432	0.705792665	0.673477203	0.810799539	0.252241865	0.385397524	0.770499885	0.608821154	0.375568956	0.148137182	0.148228303
0	0.000312015	0.000103742	0.001266897	0.000641212	0.005650893	4.55081E-05	0.000248656	0.000830889	7.69496E-05	0.001176223	0.001167879	0.000251815	2.78205E-05	0.000479132	9.97037E-05	0.00030832	0.001220167	6.00517E-05	0.000352666	0.000260815	0.003739789	0.000350043	0.000749156	0.000377819	0.000146836	0.000778541	0.000845179	0.000522137	0.005640388	0.000202194	0.000312015	0.000103742	0.001266897	0.000641212	0.005650893	4.55081E-05	0.000248656	0.000830889	7.69496E-05	0.001176223	0.001167879	0.000251815	2.78205E-05	0.000479132	9.97037E-05	0.00030832	0.001220167	6.00517E-05	0.000352666	0.000260815	0.003739789	0.000350043	0.000749156	0.000377819	0.000146836	0.000778541	0.000845179	0.000522137	0.005640388	0.000202194	0.000312015	0.000103742	0.001266897	0.000641212	0.005650893	4.55081E-05	0.000248656	0.000830889	7.69496E-05	0.001176223	0.001167879	0.000251815	2.78205E-05	0.000479132	9.97037E-05	0.00030832	0.001220167	6.00517E-05	0.000352666	0.000260815	0.003739789	0.000350043	0.000749156	0.000377819	0.000146836	0.000778541	0.000845179	0.000522137	0.005640388	0.000202194	0.000312015	0.000103742	0.001266897	0.000641212	0.005650893	4.55081E-05	0.000248656	0.000830889	7.69496E-05	0.001176223
0	0.002729788	0.001594484	0.000252128	0.000340357	0.002199277	0.00372833	0.000387579	0.002933323	0.000685021	0.001225263	0.000700951	0.000847802	0.003448397	0.000839695	0.002388418	0.006257534	0.001818731	0.00073719	0.005333617	0.632299989	0.004166573	0.001094013	0.001600429	0.000240773	0.000666499	0.006138608	0.001038805	0.000623256	0.005226925	0.003040031	0.002729788	0.001594484	0.000252128	0.000340357	0.002199277	0.00372833	0.000387579	0.002933323	0.000685021	0.001225263	0.000700951	0.000847802	0.003448397	0.000839695	0.002388418	0.006257534	0.001818731	0.00073719	0.005333617	0.632299989	0.004166573	0.001094013	0.001600429	0.000240773	0.000666499	0.006138608	0.001038805	0.000623256	0.005226925	0.003040031	0.002729788	0.001594484	0.000252128	0.000340357	0.002199277	0.00372833	0.000387579	0.002933323	0.000685021	0.001225263	0.000700951	0.000847802	0.003448397	0.000839695	0.002388418	0.006257534	0.001818731	0.00073719	0.005333617	0.632299989	0.004166573	0.001094013	0.001600429	0.000240773	0.000666499	0.006138608	0.001038805	0.000623256	0.005226925	0.003040031	0.002729788	0.001594484	0.000252128	0.000340357	0.002199277	0.00372833	0.000387579	0.002933323	0.000685021	0.001225263
1	0.500839591	0.500113353	0.506848142	0.508544803	0.499835208	0.500395194	0.500033215	0.500356674	0.500720859	0.501200393	0.500244573	0.500061095	0.498206034	0.499930248	0.499656573	0.50112012	0.003306389	0.507525489	0.501100093	0.500261754	0.500159308	0.502934918	0.50044094	0.500480875	0.500178173	0.499596328	0.503399596	5.96046E-08	0.497671247	0.502482444	0.500839591	0.500113353	0.506848142	0.508544803	0.499835208	0.500395194	0.500033215	0.500356674	0.500720859	0.501200393	0.500244573	0.500061095	0.498206034	0.499930248	0.499656573	0.50112012	0.003306389	0.507525489	0.501100093	0.500261754	0.500159308	0.502934918	0.50044094	0.500480875	0.500178173	0.499596328	0.503399596	5.96046E-08	0.497671247	0.502482444	0.500839591	0.500113353	0.506848142	0.508544803	0.499835208	0.500395194	0.500033215	0.500356674	0.500720859	0.501200393	0.500244573	0.500061095	0.498206034	0.499930248	0.499656573	0.50112012	0.003306389	0.507525489	0.501100093	0.500261754	0.500159308	0.502934918	0.50044094	0.500480875	0.500178173	0.499596328	0.503399596	5.96046E-08	0.497671247	0.502482444	0.500839591	0.500113353	0.506848142	0.508544803	0.499835208	0.500395194	0.500033215	0.500356674	0.500720859	0.501200393
1	0.977168977	0.994532526	0.996050537	0.998530447	0.994088918	0.993527055	0.929140717	0.708852232	0.99472791	0.958020926	0.996174932	0.753812224	0.97777465	0.972620994	0.912106693	0.99687916	0.706321374	0.994950026	0.995679498	0.939958751	0.982791126	0.83136484	0.977188647	0.931231618	0.976319969	0.912795305	0.98871401	0.919180691	0.983917713	0.989966512	0.977168977	0.994532526	0.996050537	0.998530447	0.994088918	0.993527055	0.929140717	0.708852232	0.99472791	0.958020926	0.996174932	0.753812224	0.97777465	0.972620994	0.912106693	0.99687916	0.706321374	0.994950026	0.995679498	0.939958751	0.982791126	0.83136484	0.977188647	0.931231618	0.976319969	0.912795305	0.98871401	0.919180691	0.983917713	0.989966512	0.977168977	0.994532526	0.996050537	0.998530447	0.994088918	0.993527055	0.929140717	0.708852232	0.99472791	0.958020926	0.996174932	0.753812224	0.97777465	0.972620994	0.912106693	0.99687916	0.706321374	0.994950026	0.995679498	0.939958751	0.982791126	0.83136484	0.977188647	0.931231618	0.976319969	0.912795305	0.98871401	0.919180691	0.983917713	0.989966512	0.977168977	0.994532526	0.996050537	0.998530447	0.994088918	0.993527055	0.929140717	0.708852232	0.99472791	0.958020926
1	0.656680062	0.923470169	0.569668025	0.577385873	0.02646926	0.88495779	0.767113805	0.985423237	0.217200696	0.233988658	0.996045589	0.284905747	0.883423865	0.949252009	0.510351121	0.497824073	0.691980705	0.6287999	0.414302394	0.939434588	0.939258605	0.929781616	0.363803476	0.730564982	0.398470163	0.943056792	0.334836408	0.641135007	0.945091546	0.546055272	0.656680062	0.923470169	0.569668025	0.577385873	0.02646926	0.88495779	0.767113805	0.985423237	0.217200696	0.233988658	0.996045589	0.284905747	0.883423865	0.949252009	0.510351121	0.497824073	0.691980705	0.6287999	0.414302394	0.939434588	0.939258605	0.929781616	0.363803476	0.730564982	0.398470163	0.943056792	0.334836408	0.641135007	0.945091546	0.546055272	0.656680062	0.923470169	0.569668025	0.577385873	0.02646926	0.88495779	0.767113805	0.985423237	0.217200696	0.233988658	0.996045589	0.284905747	0.883423865	0.949252009	0.510351121	0.497824073	0.691980705	0.6287999	0.414302394	0.939434588	0.939258605	0.929781616	0.363803476	0.730564982	0.398470163	0.943056792	0.334836408	0.641135007	0.945091546	0.546055272	0.656680062	0.923470169	0.569668025	0.577385873	0.02646926	0.88495779	0.767113805	0.985423237	0.217200696	0.233988658
1	0.992251545	0.998696387	0.996575266	0.999883384	0.99175483	0.961013198	0.999445587	0.982310086	0.994818807	0.983045101	0.967232496	0.61526376	0.937951118	0.998417497	0.974586934	0.996115863	0.999329627	0.966760963	0.971064597	0.998835146	0.986156672	0.996994138	0.995596826	0.99559474	0.992687136	0.993169099	0.994556993	0.982566625	0.758303076	0.991871387	0.992251545	0.998696387	0.996575266	0.999883384	0.99175483	0.961013198	0.999445587	0.982310086	0.994818807	0.983045101	0.967232496	0.61526376	0.937951118	0.998417497	0.974586934	0.996115863	0.999329627	0.966760963	0.971064597	0.998835146	0.986156672	0.996994138	0.995596826	0.99559474	0.992687136	0.993169099	0.994556993	0.982566625	0.758303076	0.991871387	0.992251545	0.998696387	0.996575266	0.999883384	0.99175483	0.961013198	0.999445587	0.982310086	0.994818807	0.983045101	0.967232496	0.61526376	0.937951118	0.998417497	0.974586934	0.996115863	0.999329627	0.966760963	0.971064597	0.998835146	0.986156672	0.996994138	0.995596826	0.99559474	0.992687136	0.993169099	0.994556993	0.982566625	0.758303076	0.991871387	0.992251545	0.998696387	0.996575266	0.999883384	0.99175483	0.961013198	0.999445587	0.982310086	0.994818807	0.983045101
0	0.476839721	0.493193254	0.251221791	0.20163393	0.396011636	0.433731467	0.497647747	0.268116787	0.192502826	0.352020428	0.365397975	0.195269942	0.40335837	0.285150081	0.151441604	0.249098241	0.322972775	0.498715237	0.411571041	0.066863358	0.237697259	0.24939917	0.052607119	0.503777549	0.361804232	0.462555379	0.361719459	0.236466244	0.35804832	0.401893303	0.476839721	0.493193254	0.251221791	0.20163393	0.396011636	0.433731467	0.497647747	0.268116787	0.192502826	0.352020428	0.365397975	0.195269942	0.40335837	0.285150081	0.151441604	0.249098241	0.322972775	0.498715237	0.411571041	0.066863358	0.237697259	0.24939917	0.052607119	0.503777549	0.361804232	0.462555379	0.361719459	0.236466244	0.35804832	0.401893303	0.476839721	0.493193254	0.251221791	0.20163393	0.396011636	0.433731467	0.497647747	0.268116787	0.192502826	0.352020428	0.365397975	0.195269942	0.40335837	0.285150081	0.151441604	0.249098241	0.322972775	0.498715237	0.411571041	0.066863358	0.237697259	0.24939917	0.052607119	0.503777549	0.361804232	0.462555379	0.361719459	0.236466244	0.35804832	0.401893303	0.476839721	0.493193254	0.251221791	0.20163393	0.396011636	0.433731467	0.497647747	0.268116787	0.192502826	0.352020428
1	0.71123898	0.955300152	0.518395677	0.749523848	0.853441119	0.566734463	0.545178264	0.821016222	0.591110051	0.768451869	0.526697859	0.795464784	0.51717931	0.723021448	0.624581054	0.506871402	0.583488837	0.579544798	0.813558787	0.523093373	0.640589744	0.563118622	0.629496753	0.510287225	0.798236668	0.425791323	0.658033848	0.592053086	0.594285667	0.452594474	0.71123898	0.955300152	0.518395677	0.749523848	0.853441119	0.566734463	0.545178264	0.821016222	0.591110051	0.768451869	0.526697859	0.795464784	0.51717931	0.723021448	0.624581054	0.506871402	0.583488837	0.579544798	0.813558787	0.523093373	0.640589744	0.563118622	0.629496753	0.510287225	0.798236668	0.425791323	0.658033848	0.592053086	0.594285667	0.452594474	0.71123898	0.955300152	0.518395677	0.749523848	0.853441119	0.566734463	0.545178264	0.821016222	0.591110051	0.768451869	0.526697859	0.795464784	0.51717931	0.723021448	0.624581054	0.506871402	0.583488837	0.579544798	0.813558787	0.523093373	0.640589744	0.563118622	0.629496753	0.510287225	0.798236668	0.425791323	0.658033848	0.592053086	0.594285667	0.452594474	0.71123898	0.955300152	0.518395677	0.749523848	0.853441119	0.566734463	0.545178264	0.821016222	0.591110051	0.768451869
1	0.006259084	0.218331546	0.045390919	0.03873013	0.045625836	0.040328294	0.111672834	0.001326531	0.242971182	0.337756529	0.041022107	0.046319976	0.10247758	0.125165895	0.062958032	0.043757856	0.035150602	0.016276404	0.229890138	0.077010363	0.077830568	0.009370491	0.180261791	0.172691345	0.017186686	0.111196294	0.001121715	0.002557442	0.017092153	0.108607829	0.006259084	0.218331546	0.045390919	0.03873013	0.045625836	0.040328294	0.111672834	0.001326531	0.242971182	0.337756529	0.041022107	0.046319976	0.10247758	0.125165895	0.062958032	0.043757856	0.035150602	0.016276404	0.229890138	0.077010363	0.077830568	0.009370491	0.180261791	0.172691345	0.017186686	0.111196294	0.001121715	0.002557442	0.017092153	0.108607829	0.006259084	0.218331546	0.045390919	0.03873013	0.045625836	0.040328294	0.111672834	0.001326531	0.242971182	0.337756529	0.041022107	0.046319976	0.10247758	0.125165895	0.062958032	0.043757856	0.035150602	0.016276404	0.229890138	0.077010363	0.077830568	0.009370491	0.180261791	0.172691345	0.017186686	0.111196294	0.001121715	0.002557442	0.017092153	0.108607829	0.006259084	0.218331546	0.045390919	0.03873013	0.045625836	0.040328294	0.111672834	0.001326531	0.242971182	0.337756529
