a/s	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p50	p51	p52	p53	p54	p55	p56	p57	p58	p59	p60	p61	p62	p63	p64	p65	p66	p67	p68	p69	p70	p71	p72	p73	p74	p75	p76	p77	p78	p79	p80	p81	p82	p83	p84	p85	p86	p87	p88	p89	p90	p91	p92	p93	p94	p95	p96	p97	p98	p99	p100
1	0.980054349	0.995460868	0.997259617	0.995606869	0.998621345	0.805973589	0.996657312	0.999703735	0.999577731	0.997721851	0.997100711	0.999525815	0.999465227	0.967936575	0.998776972	0.999484003	0.999804646	0.997688472	0.999829859	0.999625146	0.991254568	0.999958515	0.999969602	0.998771667	0.997782767	0.999281168	0.988943696	0.995428026	0.999866903	0.993385047	0.980054349	0.995460868	0.997259617	0.995606869	0.998621345	0.805973589	0.996657312	0.999703735	0.999577731	0.997721851	0.997100711	0.999525815	0.999465227	0.967936575	0.998776972	0.999484003	0.999804646	0.997688472	0.999829859	0.999625146	0.991254568	0.999958515	0.999969602	0.998771667	0.997782767	0.999281168	0.988943696	0.995428026	0.999866903	0.993385047	0.980054349	0.995460868	0.997259617	0.995606869	0.998621345	0.805973589	0.996657312	0.999703735	0.999577731	0.997721851	0.997100711	0.999525815	0.999465227	0.967936575	0.998776972	0.999484003	0.999804646	0.997688472	0.999829859	0.999625146	0.991254568	0.999958515	0.999969602	0.998771667	0.997782767	0.999281168	0.988943696	0.995428026	0.999866903	0.993385047	0.980054349	0.995460868	0.997259617	0.995606869	0.998621345	0.805973589	0.996657312	0.999703735	0.999577731	0.997721851
0	0.370491832	0.310029	0.400013432	0.352712452	0.342723116	0.000392914	0.459953845	0.175041676	0.345055133	0.027196452	0.091637716	0.34256734	0.163217843	0.415614858	0.294278532	0.45217976	0.002032951	0.103130534	0.283047035	0.352721155	0.427552983	0.478629306	0.006787524	0.226061687	0.349514663	0.148930877	0.178347841	0.125804558	0.355110183	0.071358457	0.370491832	0.310029	0.400013432	0.352712452	0.342723116	0.000392914	0.459953845	0.175041676	0.345055133	0.027196452	0.091637716	0.34256734	0.163217843	0.415614858	0.294278532	0.45217976	0.002032951	0.103130534	0.283047035	0.352721155	0.427552983	0.478629306	0.006787524	0.226061687	0.349514663	0.148930877	0.178347841	0.125804558	0.355110183	0.071358457	0.370491832	0.310029	0.400013432	0.352712452	0.342723116	0.000392914	0.459953845	0.175041676	0.345055133	0.027196452	0.091637716	0.34256734	0.163217843	0.415614858	0.294278532	0.45217976	0.002032951	0.103130534	0.283047035	0.352721155	0.427552983	0.478629306	0.006787524	0.226061687	0.349514663	0.148930877	0.178347841	0.125804558	0.355110183	0.071358457	0.370491832	0.310029	0.400013432	0.352712452	0.342723116	0.000392914	0.459953845	0.175041676	0.345055133	0.027196452
0	0.000653312	0.022152469	0.005756617	0.035403565	0.018801019	0.015457809	0.009593636	0.00061658	0.035139769	0.013556436	0.004091635	0.078464314	0.004056826	0.070302173	0.008985162	0.00945434	0.019503623	0.035932928	0.009936154	0.019567117	0.008559719	0.042120531	0.006961301	0.003995508	0.003920525	0.001839936	0.006097093	0.037934169	0.051467806	0.012878969	0.000653312	0.022152469	0.005756617	0.035403565	0.018801019	0.015457809	0.009593636	0.00061658	0.035139769	0.013556436	0.004091635	0.078464314	0.004056826	0.070302173	0.008985162	0.00945434	0.019503623	0.035932928	0.009936154	0.019567117	0.008559719	0.042120531	0.006961301	0.003995508	0.003920525	0.001839936	0.006097093	0.037934169	0.051467806	0.012878969	0.000653312	0.022152469	0.005756617	0.035403565	0.018801019	0.015457809	0.009593636	0.00061658	0.035139769	0.013556436	0.004091635	0.078464314	0.004056826	0.070302173	0.008985162	0.00945434	0.019503623	0.035932928	0.009936154	0.019567117	0.008559719	0.042120531	0.006961301	0.003995508	0.003920525	0.001839936	0.006097093	0.037934169	0.051467806	0.012878969	0.000653312	0.022152469	0.005756617	0.035403565	0.018801019	0.015457809	0.009593636	0.00061658	0.035139769	0.013556436
0	0.004259422	0.049872249	0.000669837	0.070416585	0.017128244	0.006248921	0.003409252	0.073676199	0.009026274	0.011846662	0.000276223	0.008001298	0.001953021	0.00311783	0.009573489	0.000480399	0.012252524	0.001018435	0.007741094	0.001285687	0.002189368	0.001866013	0.007105634	0.000902623	0.001127049	0.001105532	0.002008259	0.009861946	0.001738444	0.007682785	0.004259422	0.049872249	0.000669837	0.070416585	0.017128244	0.006248921	0.003409252	0.073676199	0.009026274	0.011846662	0.000276223	0.008001298	0.001953021	0.00311783	0.009573489	0.000480399	0.012252524	0.001018435	0.007741094	0.001285687	0.002189368	0.001866013	0.007105634	0.000902623	0.001127049	0.001105532	0.002008259	0.009861946	0.001738444	0.007682785	0.004259422	0.049872249	0.000669837	0.070416585	0.017128244	0.006248921	0.003409252	0.073676199	0.009026274	0.011846662	0.000276223	0.008001298	0.001953021	0.00311783	0.009573489	0.000480399	0.012252524	0.001018435	0.007741094	0.001285687	0.002189368	0.001866013	0.007105634	0.000902623	0.001127049	0.001105532	0.002008259	0.009861946	0.001738444	0.007682785	0.004259422	0.049872249	0.000669837	0.070416585	0.017128244	0.006248921	0.003409252	0.073676199	0.009026274	0.011846662
1	0.970222265	0.988902986	0.99999103	0.99875012	0.910403132	0.988723695	0.967720747	0.980028838	0.971212208	0.97500053	0.986609757	0.985672414	0.994484425	0.990654528	0.974238276	0.998642445	0.984113336	0.999999672	0.985172391	0.998669893	0.818208069	0.94628498	0.961893708	0.996976018	0.987136215	0.996605366	0.9996351	0.97802645	0.964457422	0.987673759	0.970222265	0.988902986	0.99999103	0.99875012	0.910403132	0.988723695	0.967720747	0.980028838	0.971212208	0.97500053	0.986609757	0.985672414	0.994484425	0.990654528	0.974238276	0.998642445	0.984113336	0.999999672	0.985172391	0.998669893	0.818208069	0.94628498	0.961893708	0.996976018	0.987136215	0.996605366	0.9996351	0.97802645	0.964457422	0.987673759	0.970222265	0.988902986	0.99999103	0.99875012	0.910403132	0.988723695	0.967720747	0.980028838	0.971212208	0.97500053	0.986609757	0.985672414	0.994484425	0.990654528	0.974238276	0.998642445	0.984113336	0.999999672	0.985172391	0.998669893	0.818208069	0.94628498	0.961893708	0.996976018	0.987136215	0.996605366	0.9996351	0.97802645	0.964457422	0.987673759	0.970222265	0.988902986	0.99999103	0.99875012	0.910403132	0.988723695	0.967720747	0.980028838	0.971212208	0.97500053
1	0.824705154	0.802008271	0.522087112	0.946975708	0.293558463	0.671669558	0.603541285	0.988114715	0.668985128	0.905185163	0.574483514	0.867721796	0.790635765	0.887173831	0.757728815	0.972092152	0.923558474	0.633972436	0.779468119	0.586215347	0.510770574	0.62944524	0.621470511	0.607066602	0.657738298	0.517645299	0.931885242	0.939260781	0.703803331	0.772664577	0.824705154	0.802008271	0.522087112	0.946975708	0.293558463	0.671669558	0.603541285	0.988114715	0.668985128	0.905185163	0.574483514	0.867721796	0.790635765	0.887173831	0.757728815	0.972092152	0.923558474	0.633972436	0.779468119	0.586215347	0.510770574	0.62944524	0.621470511	0.607066602	0.657738298	0.517645299	0.931885242	0.939260781	0.703803331	0.772664577	0.824705154	0.802008271	0.522087112	0.946975708	0.293558463	0.671669558	0.603541285	0.988114715	0.668985128	0.905185163	0.574483514	0.867721796	0.790635765	0.887173831	0.757728815	0.972092152	0.923558474	0.633972436	0.779468119	0.586215347	0.510770574	0.62944524	0.621470511	0.607066602	0.657738298	0.517645299	0.931885242	0.939260781	0.703803331	0.772664577	0.824705154	0.802008271	0.522087112	0.946975708	0.293558463	0.671669558	0.603541285	0.988114715	0.668985128	0.905185163
1	0.999343812	0.999989241	0.987061739	0.994617343	0.998415947	0.99511838	0.995596707	0.999867618	0.992144555	0.982679307	0.997516453	0.999955654	0.992828071	0.997740924	0.998380303	0.999270171	0.996888161	0.996111929	0.994352162	0.995759159	0.999926865	0.996328294	0.977340549	0.99965331	0.997084707	0.999983996	0.999827653	0.986202776	0.998213798	0.999847978	0.999343812	0.999989241	0.987061739	0.994617343	0.998415947	0.99511838	0.995596707	0.999867618	0.992144555	0.982679307	0.997516453	0.999955654	0.992828071	0.997740924	0.998380303	0.999270171	0.996888161	0.996111929	0.994352162	0.995759159	0.999926865	0.996328294	0.977340549	0.99965331	0.997084707	0.999983996	0.999827653	0.986202776	0.998213798	0.999847978	0.999343812	0.999989241	0.987061739	0.994617343	0.998415947	0.99511838	0.995596707	0.999867618	0.992144555	0.982679307	0.997516453	0.999955654	0.992828071	0.997740924	0.998380303	0.999270171	0.996888161	0.996111929	0.994352162	0.995759159	0.999926865	0.996328294	0.977340549	0.99965331	0.997084707	0.999983996	0.999827653	0.986202776	0.998213798	0.999847978	0.999343812	0.999989241	0.987061739	0.994617343	0.998415947	0.99511838	0.995596707	0.999867618	0.992144555	0.982679307
1	0.563280031	0.860489219	0.723734185	0.69436945	0.628488511	0.487175733	0.536354885	0.516341344	0.584662169	0.666223466	0.593363464	0.531405434	0.567473173	0.771863252	0.992672205	0.885600328	0.763941824	0.537875056	0.627365798	0.561005324	0.827709228	0.935704648	0.547143742	0.79939422	0.568355873	0.657851413	0.754159153	0.539077401	0.517645657	0.562627032	0.563280031	0.860489219	0.723734185	0.69436945	0.628488511	0.487175733	0.536354885	0.516341344	0.584662169	0.666223466	0.593363464	0.531405434	0.567473173	0.771863252	0.992672205	0.885600328	0.763941824	0.537875056	0.627365798	0.561005324	0.827709228	0.935704648	0.547143742	0.79939422	0.568355873	0.657851413	0.754159153	0.539077401	0.517645657	0.562627032	0.563280031	0.860489219	0.723734185	0.69436945	0.628488511	0.487175733	0.536354885	0.516341344	0.584662169	0.666223466	0.593363464	0.531405434	0.567473173	0.771863252	0.992672205	0.885600328	0.763941824	0.537875056	0.627365798	0.561005324	0.827709228	0.935704648	0.547143742	0.79939422	0.568355873	0.657851413	0.754159153	0.539077401	0.517645657	0.562627032	0.563280031	0.860489219	0.723734185	0.69436945	0.628488511	0.487175733	0.536354885	0.516341344	0.584662169	0.666223466
0	0.790591925	0.622906685	0.907619655	0.903827935	0.761202216	0.780723572	0.50759542	0.576403156	0.998080045	0.931599379	0.530771837	0.50425224	0.989091367	0.531274721	0.503189683	0.746470094	0.500951678	0.501177087	0.82984367	0.500693202	0.501528665	0.501296908	0.573206604	0.500971824	0.502194136	0.526250675	0.774672687	0.609786928	0.72078836	0.520320803	0.790591925	0.622906685	0.907619655	0.903827935	0.761202216	0.780723572	0.50759542	0.576403156	0.998080045	0.931599379	0.530771837	0.50425224	0.989091367	0.531274721	0.503189683	0.746470094	0.500951678	0.501177087	0.82984367	0.500693202	0.501528665	0.501296908	0.573206604	0.500971824	0.502194136	0.526250675	0.774672687	0.609786928	0.72078836	0.520320803	0.790591925	0.622906685	0.907619655	0.903827935	0.761202216	0.780723572	0.50759542	0.576403156	0.998080045	0.931599379	0.530771837	0.50425224	0.989091367	0.531274721	0.503189683	0.746470094	0.500951678	0.501177087	0.82984367	0.500693202	0.501528665	0.501296908	0.573206604	0.500971824	0.502194136	0.526250675	0.774672687	0.609786928	0.72078836	0.520320803	0.790591925	0.622906685	0.907619655	0.903827935	0.761202216	0.780723572	0.50759542	0.576403156	0.998080045	0.931599379
1	0.531381696	0.49326469	0.752728283	0.626150906	0.473131239	0.534950122	0.805785179	0.377711654	0.496226177	0.572009295	0.577660203	0.574302211	0.518391922	0.806905597	0.586494341	0.671316728	0.682054073	0.551245749	0.543189943	0.510169148	0.554934338	0.512033135	0.514235273	0.614400223	0.643491149	0.595577031	0.504628956	0.561332166	0.19945845	0.586787835	0.531381696	0.49326469	0.752728283	0.626150906	0.473131239	0.534950122	0.805785179	0.377711654	0.496226177	0.572009295	0.577660203	0.574302211	0.518391922	0.806905597	0.586494341	0.671316728	0.682054073	0.551245749	0.543189943	0.510169148	0.554934338	0.512033135	0.514235273	0.614400223	0.643491149	0.595577031	0.504628956	0.561332166	0.19945845	0.586787835	0.531381696	0.49326469	0.752728283	0.626150906	0.473131239	0.534950122	0.805785179	0.377711654	0.496226177	0.572009295	0.577660203	0.574302211	0.518391922	0.806905597	0.586494341	0.671316728	0.682054073	0.551245749	0.543189943	0.510169148	0.554934338	0.512033135	0.514235273	0.614400223	0.643491149	0.595577031	0.504628956	0.561332166	0.19945845	0.586787835	0.531381696	0.49326469	0.752728283	0.626150906	0.473131239	0.534950122	0.805785179	0.377711654	0.496226177	0.572009295
